date,store_id,sku_id,sales
2023-01-01,S01,SKU001,35
2023-01-02,S01,SKU001,33
2023-01-03,S01,SKU001,26
2023-01-04,S01,SKU001,26
2023-01-05,S01,SKU001,31
2023-01-06,S01,SKU001,26
2023-01-07,S01,SKU001,34
2023-01-08,S01,SKU001,23
2023-01-09,S01,SKU001,12
2023-01-10,S01,SKU001,12
2023-01-11,S01,SKU001,12
2023-01-12,S01,SKU001,12
2023-01-13,S01,SKU001,14
2023-01-14,S01,SKU001,21
2023-01-15,S01,SKU001,21
2023-01-16,S01,SKU001,12
2023-01-17,S01,SKU001,14
2023-01-18,S01,SKU001,13
2023-01-19,S01,SKU001,12
2023-01-20,S01,SKU001,10
2023-01-21,S01,SKU001,22
2023-01-22,S01,SKU001,23
2023-01-23,S01,SKU001,9
2023-01-24,S01,SKU001,12
2023-01-25,S01,SKU001,8
2023-01-26,S01,SKU001,12
2023-01-27,S01,SKU001,8
2023-01-28,S01,SKU001,20
2023-01-29,S01,SKU001,22
2023-01-30,S01,SKU001,14
2023-01-31,S01,SKU001,14
2023-02-01,S01,SKU001,9
2023-02-02,S01,SKU001,12
2023-02-03,S01,SKU001,9
2023-02-04,S01,SKU001,24
2023-02-05,S01,SKU001,18
2023-02-06,S01,SKU001,11
2023-02-07,S01,SKU001,8
2023-02-08,S01,SKU001,11
2023-02-09,S01,SKU001,16
2023-02-10,S01,SKU001,11
2023-02-11,S01,SKU001,24
2023-02-12,S01,SKU001,25
2023-02-13,S01,SKU001,10
2023-02-14,S01,SKU001,7
2023-02-15,S01,SKU001,14
2023-02-16,S01,SKU001,13
2023-02-17,S01,SKU001,16
2023-02-18,S01,SKU001,21
2023-02-19,S01,SKU001,21
2023-02-20,S01,SKU001,12
2023-02-21,S01,SKU001,13
2023-02-22,S01,SKU001,14
2023-02-23,S01,SKU001,9
2023-02-24,S01,SKU001,15
2023-02-25,S01,SKU001,21
2023-02-26,S01,SKU001,20
2023-02-27,S01,SKU001,11
2023-02-28,S01,SKU001,16
2023-03-01,S01,SKU001,12
2023-03-02,S01,SKU001,10
2023-03-03,S01,SKU001,12
2023-03-04,S01,SKU001,18
2023-03-05,S01,SKU001,19
2023-03-06,S01,SKU001,11
2023-03-07,S01,SKU001,11
2023-03-08,S01,SKU001,10
2023-03-09,S01,SKU001,8
2023-03-10,S01,SKU001,14
2023-03-11,S01,SKU001,22
2023-03-12,S01,SKU001,16
2023-03-13,S01,SKU001,16
2023-03-14,S01,SKU001,13
2023-03-15,S01,SKU001,13
2023-03-16,S01,SKU001,15
2023-03-17,S01,SKU001,14
2023-03-18,S01,SKU001,20
2023-03-19,S01,SKU001,22
2023-03-20,S01,SKU001,15
2023-03-21,S01,SKU001,12
2023-03-22,S01,SKU001,11
2023-03-23,S01,SKU001,13
2023-03-24,S01,SKU001,11
2023-03-25,S01,SKU001,21
2023-03-26,S01,SKU001,23
2023-03-27,S01,SKU001,11
2023-03-28,S01,SKU001,16
2023-03-29,S01,SKU001,10
2023-03-30,S01,SKU001,14
2023-03-31,S01,SKU001,14
2023-04-01,S01,SKU001,27
2023-04-02,S01,SKU001,24
2023-04-03,S01,SKU001,21
2023-04-04,S01,SKU001,19
2023-04-05,S01,SKU001,23
2023-04-06,S01,SKU001,21
2023-04-07,S01,SKU001,22
2023-04-08,S01,SKU001,19
2023-04-09,S01,SKU001,20
2023-04-10,S01,SKU001,12
2023-04-11,S01,SKU001,10
2023-04-12,S01,SKU001,13
2023-04-13,S01,SKU001,13
2023-04-14,S01,SKU001,13
2023-04-15,S01,SKU001,21
2023-04-16,S01,SKU001,20
2023-04-17,S01,SKU001,11
2023-04-18,S01,SKU001,11
2023-04-19,S01,SKU001,12
2023-04-20,S01,SKU001,10
2023-04-21,S01,SKU001,14
2023-04-22,S01,SKU001,22
2023-04-23,S01,SKU001,22
2023-04-24,S01,SKU001,11
2023-04-25,S01,SKU001,13
2023-04-26,S01,SKU001,15
2023-04-27,S01,SKU001,14
2023-04-28,S01,SKU001,11
2023-04-29,S01,SKU001,20
2023-04-30,S01,SKU001,21
2023-05-01,S01,SKU001,16
2023-05-02,S01,SKU001,13
2023-05-03,S01,SKU001,10
2023-05-04,S01,SKU001,12
2023-05-05,S01,SKU001,14
2023-05-06,S01,SKU001,18
2023-05-07,S01,SKU001,24
2023-05-08,S01,SKU001,12
2023-05-09,S01,SKU001,13
2023-05-10,S01,SKU001,15
2023-05-11,S01,SKU001,11
2023-05-12,S01,SKU001,11
2023-05-13,S01,SKU001,21
2023-05-14,S01,SKU001,20
2023-05-15,S01,SKU001,10
2023-05-16,S01,SKU001,12
2023-05-17,S01,SKU001,18
2023-05-18,S01,SKU001,16
2023-05-19,S01,SKU001,15
2023-05-20,S01,SKU001,19
2023-05-21,S01,SKU001,20
2023-05-22,S01,SKU001,12
2023-05-23,S01,SKU001,10
2023-05-24,S01,SKU001,10
2023-05-25,S01,SKU001,10
2023-05-26,S01,SKU001,11
2023-05-27,S01,SKU001,18
2023-05-28,S01,SKU001,20
2023-05-29,S01,SKU001,14
2023-05-30,S01,SKU001,13
2023-05-31,S01,SKU001,16
2023-06-01,S01,SKU001,10
2023-06-02,S01,SKU001,16
2023-06-03,S01,SKU001,22
2023-06-04,S01,SKU001,21
2023-06-05,S01,SKU001,14
2023-06-06,S01,SKU001,15
2023-06-07,S01,SKU001,10
2023-06-08,S01,SKU001,15
2023-06-09,S01,SKU001,15
2023-06-10,S01,SKU001,21
2023-06-11,S01,SKU001,22
2023-06-12,S01,SKU001,12
2023-06-13,S01,SKU001,13
2023-06-14,S01,SKU001,15
2023-06-15,S01,SKU001,14
2023-06-16,S01,SKU001,11
2023-06-17,S01,SKU001,19
2023-06-18,S01,SKU001,22
2023-06-19,S01,SKU001,10
2023-06-20,S01,SKU001,8
2023-06-21,S01,SKU001,9
2023-06-22,S01,SKU001,13
2023-06-23,S01,SKU001,11
2023-06-24,S01,SKU001,22
2023-06-25,S01,SKU001,23
2023-06-26,S01,SKU001,14
2023-06-27,S01,SKU001,11
2023-06-28,S01,SKU001,13
2023-06-29,S01,SKU001,12
2023-06-30,S01,SKU001,18
2023-07-01,S01,SKU001,31
2023-07-02,S01,SKU001,34
2023-07-03,S01,SKU001,22
2023-07-04,S01,SKU001,23
